,instant,dteday_hour,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,seaoson,dteday_daily,season_daily,yr_daily,mnth_daily,holiday_daily,weekday_daily,workingday_daily,weathersit_daily,temp_daily,atemp_daily,hum_daily,windspeed_daily,casual_daily,registered_daily,cnt_daily
0,1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,springer,2011-01-01,springer,0.0,1.0,0.0,6.0,0.0,2.0,0.344167,0.363625,0.805833,0.160446,331.0,654.0,985.0
1,2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,springer,2011-01-02,springer,0.0,1.0,0.0,0.0,0.0,2.0,0.363478,0.353739,0.696087,0.248539,131.0,670.0,801.0
2,3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,springer,2011-01-03,springer,0.0,1.0,0.0,1.0,1.0,1.0,0.196364,0.189405,0.437273,0.248309,120.0,1229.0,1349.0
3,4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,springer,2011-01-04,springer,0.0,1.0,0.0,2.0,1.0,1.0,0.2,0.212122,0.590435,0.160296,108.0,1454.0,1562.0
4,5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,springer,2011-01-05,springer,0.0,1.0,0.0,3.0,1.0,1.0,0.226957,0.22927,0.436957,0.1869,82.0,1518.0,1600.0
5,6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,springer,2011-01-06,springer,0.0,1.0,0.0,4.0,1.0,1.0,0.204348,0.233209,0.518261,0.0895652,88.0,1518.0,1606.0
6,7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,springer,2011-01-07,springer,0.0,1.0,0.0,5.0,1.0,2.0,0.196522,0.208839,0.498696,0.168726,148.0,1362.0,1510.0
7,8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,springer,2011-01-08,springer,0.0,1.0,0.0,6.0,0.0,2.0,0.165,0.162254,0.535833,0.266804,68.0,891.0,959.0
8,9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,springer,2011-01-09,springer,0.0,1.0,0.0,0.0,0.0,1.0,0.138333,0.116175,0.434167,0.36195,54.0,768.0,822.0
9,10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,springer,2011-01-10,springer,0.0,1.0,0.0,1.0,1.0,1.0,0.150833,0.150888,0.482917,0.223267,41.0,1280.0,1321.0
10,11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,springer,2011-01-11,springer,0.0,1.0,0.0,2.0,1.0,2.0,0.169091,0.191464,0.686364,0.122132,43.0,1220.0,1263.0
11,12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,springer,2011-01-12,springer,0.0,1.0,0.0,3.0,1.0,1.0,0.172727,0.160473,0.599545,0.304627,25.0,1137.0,1162.0
12,13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,springer,2011-01-13,springer,0.0,1.0,0.0,4.0,1.0,1.0,0.165,0.150883,0.470417,0.301,38.0,1368.0,1406.0
13,14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,springer,2011-01-14,springer,0.0,1.0,0.0,5.0,1.0,1.0,0.16087,0.188413,0.537826,0.126548,54.0,1367.0,1421.0
14,15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,springer,2011-01-15,springer,0.0,1.0,0.0,6.0,0.0,2.0,0.233333,0.248112,0.49875,0.157963,222.0,1026.0,1248.0
15,16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,springer,2011-01-16,springer,0.0,1.0,0.0,0.0,0.0,1.0,0.231667,0.234217,0.48375,0.188433,251.0,953.0,1204.0
16,17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,springer,2011-01-17,springer,0.0,1.0,1.0,1.0,0.0,2.0,0.175833,0.176771,0.5375,0.194017,117.0,883.0,1000.0
17,18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,springer,2011-01-18,springer,0.0,1.0,0.0,2.0,1.0,2.0,0.216667,0.232333,0.861667,0.146775,9.0,674.0,683.0
18,19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,springer,2011-01-19,springer,0.0,1.0,0.0,3.0,1.0,2.0,0.292174,0.298422,0.741739,0.208317,78.0,1572.0,1650.0
